OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,x2,y2
68,5_46,20260529,5,46,MÉNDEZ ÁLVARO,,I,46,35701,,90,13,U,28,079,07901,0790101,11713,Calle,del,Ombu,N,16,,,28045,02,083,027,T07911253,0790101720,1,4,A,1,079-02-044,44,44,559-4,2,3,20030331,19860101,,442564,4472070,P,,,,,"C-10, C-5",442454.3563,4471862.5322
69,5_133,20260529,5,133,FUENTE DE LA MORA,,I,133,98003,,92,102,U,28,079,07901,0790101,C0361,Calle,de,Dulce Chacón,N,15,,,28050,16,106,166,T0791209,0790101154,4,7,A,1,079-16-436,436,,559-2,2,3,20110329,20110329,,443933,4481980,T,,,,,C-1,443823.5274,4481772.4193
70,5_112,20260529,5,112,ARIZA,,S,112,70500,,,,U,50,034,03401,0340101,99999,Calle,,Ferrocarril,N,2,,, ,01,001,,,,,, ,, ,0,,436-1,2,3,20080306,20080306,,578832,4573763,T,,,,,,578723.4199,4573554.208
71,5_66,20260529,5,66,"RETAMAS, LAS",,E,66,35610,,93,313,U,28,007,00701,0070101,02573,Avda,de,Retamas,N,2,,,28922,01,017,,T007593,0070101016,,5,B1,3,007-013,656,,559-3,2,3,20030331,19860101,,428560,4466253,P,,,,,C-5,428450.6919,4466045.5405
72,5_94,20260529,5,94,ZARZALEJO,,S,94,10204,,93,375,U,28,183,18301,1830101,A0041,Calle,del,Ferrocarril,SN,13,,,28293,01,001,,T183140,1830101001,,5,C2,4,183-001,1172,92,533-3,2,3,20030331,19860101,,402029,4488404,T,,,,,C-8a,401919.213,4488196.7925
73,5_20,20260529,5,20,COLLADO MEDIANO,,S,20,12004,,93,173,U,28,046,04601,0460101,A0163,Paseo,de los,Rosales,N,47,,,28450,01,001,,T046153,0460101008,,6,C1,4,046-001,1156,13,508-3,2,3,20030331,19860101,,412587,4505374,N,,,,,C-8b,412477.3428,4505166.792
74,5_47,20260529,5,47,"MOLINOS, LOS",,S,47,12005,,93,276,U,28,087,08701,0870102,A0072,Gta,de la,Estación,N,2,,,28460,01,002,,T087192,0870102007,,6,C2,4,087-001,1161,38,508-3,2,3,20030331,19860101,,409992,4507025,N,,,,,C-8b,409883.2498,4506817.5007
75,5_6,20260529,5,6,ALPEDRETE,,S,6,12002,,93,134,U,28,010,01001,0100101,A0088,Cmno,de la,Estación,N,36,,,28430,01,003,,T010167,0100101004,,6,C1,4,010-001,1152,42,533-1,2,3,20030331,19860101,,412610,4501533,N,,,,,C-8b,412501.0616,4501326.0085
76,5_50,20260529,5,50,"NEGRALES, LOS",,S,50,12001,,93,279,U,28,010,01018,0101801,A0191,Avda,de la,Reina Victoria,N,47,,,28439,01,005,,T010253,0101801003,,6,C1,4,010-001,1152,39,533-1,2,3,20030331,19860101,,413698,4499346,N,,,,,C-8b,413588.6659,4499138.7931
77,5_33,20260529,5,33,GALAPAGAR-LA NAVATA,,S,33,10104,,93,217,U,28,061,06108,0610801,A0253,Ctra,de,Galapagar-La Navata,N,154,,,28420,01,007,,T061192,0610801019,,6,B3,3,061-002,972,25,533-2,2,3,20030331,19860101,,417036,4495038,N,,,,,"C-10, C-8a, C-8b",416927.2863,4494830.6618
78,5_120,20260529,5,120,GUIMORCONDO,,S,120,10302,,,,U,05,019,01901,,99999,Calle,,DESCONOCIDA,N,SN,,, ,01,,,,,,, ,, ,0,,531-2,2,3,20080403,20080403,,363565,4501255,T,,,,,,363455.5341,4501047.9928
79,5_30,20260529,5,30,MAESTRA JUSTA FREIRE-POLIDEPORTIVO ALUCHE,,I,30,35601,,93,214,U,28,079,07901,0790101,02495,Avda,de las,Águilas,N,27,,,28044,10,167,107,T07912928,0790101527,,5,A,2,079-10-241,241,22,559-3,2,3,20030331,19860101,,434873,4470831,N,,,,,C-5,434763.9038,4470623.6608
80,5_29,20260529,5,29,"ESCORIAL, EL",,S,29,10203,,93,206,U,28,054,05404,0540401,00674,Calle, ,Estación Renfe,N,5,,,28280,02,002,,T054239,0540401006,,6,C1,4,054-001,1157,17,533-1,2,3,20030331,19860101,,404283,4493543,P,,,,,C-8a,404173.869,4493335.5194
81,5_105,20260529,5,105,PARQUE POLVORANCA,,S,105,35011,,93,295,U,28,074,07402,0740299,C0026,Calle, ,Alcalde Francisco Moreno Menéndez,N,4,,,28914,01,018,,T0741409,0740299999,,4,B1,3,074-035,774,,582-1,2,3,20040929,20040101,,433549,4462945,P,,,,,C-5,433439.4725,4462737.4346
82,5_49,20260529,5,49,MÓSTOLES EL SOTO,,S,49,35607,,93,278,U,28,092,09201,0920101,A0153,Calle, ,Granada,N,17,,,28935,02,007,,T092143,0920101020,,5,B2,3,092-007,785,46,581-2,2,3,20030331,19860101,,425157,4465065,N,,,,,C-5,425048.2852,4464857.6229
83,5_122,20260529,5,122,SOL,,I,122,18101,,90,58,U,28,079,07901,0790101,04980,Plaza,de la,Puerta del Sol,N,6,,,28013,01,119,016,T0799116,0790101560,,5,A,1,079-01-014,14,,solape,2,3,20090625,20090625,,440460,4474469,T,,,,,"C-3, C-4",440350.3559,4474261.9571
84,5_103,20260529,5,103,"CASAR, EL",,S,103,60109,,92,93,U,28,065,06503,0650301,A0161,Avda,del,Casar,N,2,,,28903,02,020,,T065223,0650301045,7,4,B1,2,065-005,709,,582-1,2,3,20030421,20030101,,439800,4463554,T,,,,,C-3,439690.8288,4463346.5503
85,5_34,20260529,5,34,GETAFE CENTRO,,I,34,37002,,92,92,U,28,065,06503,0650301,A0299,Calle,,Ferrocarril,N,2,,,28904,03,033,,T065550,0650301031,7,4,B1,2,065-002,706,27,582-1,2,3,20030331,19860101,,437745,4462642,T,,,,,C-4,437634.9803,4462434.1373
86,5_119,20260529,5,119,HERRADÓN-LA CAÑADA,,S,119,10300,,,,U,05,093,09301,,99999,Calle,,Mayor,N,SN,,, ,01,,,,,,, ,, ,0,,532-1,2,3,20080403,20080403,,373613,4495553,T,,,,,,373503.5336,4495345.9499
87,5_18,20260529,5,18,MADRID CHAMARTÍN-CLARA CAMPOAMOR,Complejo Ferroviario,I,18,17000,,90,25,U,28,079,07901,0790101,00073,Calle,de,Agustín de Foxá,N,40,,,28036,05,094,056,T0791996,0790101150,1,1,A,1,079-05-086,86,11,559-2,2,3,20030331,19860101,,442257,4480589,T,,,,,"C-1, C-10, C-2, C-3, C-4, C-7, C-8a, C-8b",442147.3266,4480381.9156
88,5_90,20260529,5,90,VICÁLVARO,,I,90,70100,,91,39,U,28,079,07901,0790101,08410,Calle,de,San Cipriano,N,85,,,28032,19,047,191,T07910783,0790101895,4,3,A,2,079-19-531,531,68,559-4,1,3,20030331,19860101,,449540,4472679,N,,,,,"C-2, C-7, C-8a, C-8b",449430.6056,4472471.5199
89,5_114,20260529,5,114,OTERO-HERREROS,,S,114,12012,,,,U,40,152,15202,,99999,Plaza,de la,Estación,N,SN,,, ,01,,,,,,, ,, ,0,,507-2,2,3,20080402,20080402,,398584,4517562,T,,,,,,398474.8432,4517354.8415
90,5_24,20260529,5,24,CUATRO VIENTOS,,I,24,35603,,92,84,U,28,079,07901,0790101,02110,Paseo,de,Extremadura,N,567,A,,28024,10,216,106,T07913753,0790101522,3,5,A,2,079-10-233,233,15,559-3,2,3,20030331,19860101,,432926,4470188,P,,,,,C-5,432816.7081,4469980.8671
91,5_25,20260529,5,25,DELICIAS,,S,25,18004,,92,181,U,28,079,07901,0790101,05084,Calle,de,Ramírez de Prado,N,3,B,,28045,02,052,025,T07910929,0790101617,,4,A,1,079-02-035,35,73,559-3,2,3,20030331,19860101,,441322,4472634,P,,,,,C-10,441212.122,4472426.2367
92,5_57,20260529,5,57,PIRÁMIDES,,I,57,18005,,92,85,U,28,079,07901,0790101,11748,Paseo,del,Doctor Vallejo Nágera,N,37,,,28005,02,087,022,T07910617,0790101569,1,4,A,1,079-02-027,27,75,559-3,2,3,20030331,19860101,,439748,4472894,P,,,,,C-10,439638.0431,4472685.7862
93,5_8,20260529,5,8,ARANJUEZ,,S,8,60200,,93,140,U,28,013,01302,0130201,A0083,Calle,de la,Estación,N,5,,,28300,04,003,,T013242,0130201008,,4,C1,4,013-001,1089,5,605-4,2,3,20030331,19860101,,447358,4432014,N,,,,,C-3,447248.0237,4431806.1108
94,5_19,20260529,5,19,CIEMPOZUELOS,,S,19,60105,,93,171,U,28,040,04001,0400101,A0157,Avda,de,San Juan de Dios,N,7,,,28350,01,001,,T040131,0400101009,,4,B3,3,040-003,675,12,605-2,2,3,20030331,19860101,,448159,4445798,N,,,,,C-3,448049.0573,4445590.2463
95,5_86,20260529,5,86,VALDEMORO,,S,86,60104,,92,364,U,28,161,16101,1610101,00601,Paseo,de la,Estación,N,86,,,28343,01,010,,T1611839,,7,4,B3,2,161-006,849,66,582-4,2,3,20030331,19860101,,443524,4449936,T,,,,,C-3,443413.9226,4449728.2323
96,5_56,20260529,5,56,PINTO,,S,56,60103,,93,299,U,28,113,11301,1130102,A0117,Calle,del,Ferrocarril,N,4,,,28320,01,003,,T113204,1130102006,,4,B2,3,113-005,835,51,582-3,2,3,20030331,19860101,,440252,4455150,N,,,,,C-3,440142.2136,4454942.6435
97,5_35,20260529,5,35,GETAFE INDUSTRIAL,Frente al nº 13,S,35,60102,,93,219,U,28,065,06503,0650301,A0408,Paseo,de,John Lennon,N,15400,,,28906,04,012,,T065648,0650301016,,4,B1,3,065-021,725,26,582-1,2,3,20030331,19860101,,439971,4462111,N,,,,,C-3,439861.2368,4461903.3214
98,5_40,20260529,5,40,LAGUNA,,I,40,35608,,92,83,U,28,079,07901,0790101,01597,Calle,de,Cuart de Poblet,N,1,,,28047,10,006,101,T07910677,0790101911,3,5,A,2,079-10-264,264,29,559-3,2,3,20030331,19860101,,436954,4472537,N,,,,,C-5,436844.6705,4472329.2234
99,5_58,20260529,5,58,PITIS,,S,58,97100,,93,86,U,28,079,07901,0790199,45576,Ctra,a la,Estación de Pitis,N,19,,,28035,08,139,087,T079764,0790199999,2,7,A,2,079-08-158,158,52,559-1,2,3,20030331,19860101,,438601,4483172,P,,,,,"C-7, C-8a, C-8b",438491.9387,4482964.2599
100,5_22,20260529,5,22,COSLADA,Con Trva de León Felipe,I,22,70108,,92,87,U,28,049,04901,0490101,A0172,Calle,de,Luis Braille,N,8,,,28821,01,013,,T049291,0490101010,8,2,B1,3,049-005,898,14,559-2,2,3,20030331,19860101,,452508,4475148,P,,,,,"C-2, C-7, C-8a, C-8b",452398.8417,4474940.5665
101,5_41,20260529,5,41,LEGANES,,S,41,35001,,92,88,U,28,074,07402,0740201,A0521,Calle,,Virgen del Camino,N,1,,,28913,01,020,,T0741000,0740201013,7,4,B1,3,074-012,751,36,582-1,2,3,20030331,19860101,,434573,4464765,P,,,,,C-5,434463.4139,4464558.0002
102,5_5,20260529,5,5,ALCORCÓN,,E,5,35605,,92,89,U,28,007,00701,0070101,A0045,Avda,de,Móstoles,N,12,,,28922,01,002,,T007295,0070101028,7,5,B1,3,007-014,657,3,559-3,2,3,20030331,19860101,,429477,4467153,P,,,,,C-5,429367.1032,4466946.051
103,5_48,20260529,5,48,MÓSTOLES,,S,48,35606,,92,90,U,28,092,09201,0920101,A0126,Paseo,de la,Estación,N,13,,,28933,02,011,,T092228,0920101027,7,5,B2,3,092-009,787,45,581-2,2,3,20030331,19860101,,426756,4464784,P,,,,,C-5,426646.5135,4464576.6087
104,5_1,20260529,5,1,"ÁGUILAS, LAS",,I,1,35602,,93,120,U,28,079,07901,0790101,02495,Avda,del,General Fanjul,N,110,,,28044,10,174,107,T07913516,0790101528,,5,A,2,079-10-242,242,31,559-3,2,3,20030331,19860101,,433877,4470567,N,,,,,C-5,433767.6155,4470358.9625
105,5_4,20260529,5,4,ALCOBENDAS-S.S. DE LOS REYES,,I,4,19003,,93,127,U,28,006,00601,0060101,C0008,Plaza,de,Francisco Casillas,N,1,,,28100,01,046,,T006156,0060101014,,1,B1,3,006-007,592,,534-4,2,3,20030331,19860101,,446325,4488825,T,,,,,C-4,446215.2368,4488617.5977
106,5_32,20260529,5,32,FUENLABRADA,Frente a Paseo Estación,S,32,35002,,92,91,U,28,058,05801,0580102,10290,Plaza,,Constitución,N,1,,,28944,04,001,,T058547,0580102008,7,4,B2,3,058-024,699,24,582-1,2,3,20030331,19860101,,432201,4459646,P,,,,,C-5,432091.7111,4459438.5041
107,5_9,20260529,5,9,ARAVACA,Con Calle de las Rosas de Aravaca,S,9,10001,,92,94,U,28,079,07901,0790101,45062,Calle,de la,Golondrina,N,104,,,28023,09,088,097,T0795382,0790101907,5,6,A,2,079-09-204,204,6,559-1,2,3,20030331,19860101,,433469,4478023,P,,,,,"C-10, C-7",433359.8005,4477815.6833
108,5_111,20260529,5,111,VALLADOLID,,S,111,10600,,,,U,47,186,,,99999,Calle,,Estación del Norte,N,12,,, ,,,,,,,, ,, ,0,,372-1,2,3,20080306,20080306,,356281,4611695,T,,,,,,356172.4737,4611488.2783
109,5_143,20260529,5,143,SOTO DEL HENARES,,I,143,70112,,93,520,U,28,148,14801,,C0049,Paseo,de la,Democracia,N,17,,,28850,02,019,,T1488824,,,2,B2,2,148-013,944,,560-1,2,3,20150828,20150828,,462693,4479508,T,,,,,"C-2, C-7, C-8a, C-8b",462583.3031,4479299.8734
110,5_144,20260529,5,144,VALDEBEBAS,,I,144,98304,,93,540,U,28,079,07901,,99999,Avda,de las,Fuerzas Armadas,N,322,,,28055,21,028,214,T079917433,,,2,A,1,079-21-574,574,,559-2,2,3,20151215,20151215,,447863,4481680,T,,,,,C-1,447754.0753,4481472.6718
111,5_145,20260529,5,145,MIRASIERRA-PACO DE LUCÍA,,E,145,97200,,93,480,U,28,079,07901,,01550,Calle,de la,Costa Brava,N,14,B,,28034,08,135,087,T079679,,,7,A,1,079-08-160,160,,559-1,2,3,20170601,20180205,,440017,4483672,T,,,,,"C-7, C-8a, C-8b",439907.9029,4483463.5498
