OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,x2,y2
11,5_3,20260529,5,3,ALCALÁ DE HENARES UNIVERSIDAD,Pl Sector 20,S,3,70107,,93,126,U,28,005,00501,0050101,99999,Ctra,del ,Campus,SN,SN,,,28805,04,017,,T00535,0050101035,,2,B3,3,005-004,860,2,535-4,2,3,20030331,19860101,,471691,4484109,N,,,,,"C-2, C-8a, C-8b",471581.3924,4483901.3922
12,5_63,20260529,5,63,PUERTO NAVACERRADA,,S,63,12020,,93,308,U,28,038,03803,0380301,00588,Calle,de la,Victoria,N,1,,,28470,01,001,,T038100,0380301001,,6,C2,4,038-001,1155,,508-2,2,3,20030331,19860101,,415334,4515518,N,Esq Ctra M-601 (Villalba-Segovia),,,,C-9,415224.8925,4515310.4828
13,5_12,20260529,5,12,AZUQUECA,,S,12,70105,,93,151,U,19,046,04601,0460101,99999,Paseo,de la,Estacion,SN,SN,,,19200,01,001,,T0461,0460101001,,,E1,4, ,0,7,535-4,2,3,20030331,19860101,,477636,4490271,P,,,,,"C-2, C-8a, C-8b",477527.254,4490062.6243
14,5_45,20260529,5,45,MECO,,S,45,70104,,93,271,U,28,083,08301,0830101,10097,Trva,de la,Calera,N,3,,,28880,01,001,,T083247,0830101001,,2,C1,4,083-001,1130,43,535-4,2,3,20030331,19860101,,474816,4487348,N,,,,,"C-2, C-8a, C-8b",474706.7606,4487139.9677
15,5_42,20260529,5,42,MAJADAHONDA,,S,42,10007,,92,263,U,28,080,08022,0802201,A0005,Cmno, ,Estación del Plantío,N,6,,,28221,02,015,,T080180,0802201043,,6,B2,3,080-004,979,41,559-1,2,3,20030331,19860101,,428452,4480950,P,,,,,"C-10, C-7",428343.0863,4480742.7523
16,5_13,20260529,5,13,"BARRIAL-C.COM.POZUELO, EL",Con Vía Ferrocarril,S,13,10010,,93,153,U,28,079,07901,0790101,A0060,Via, ,Ferrocarril,SN,SN,,,28023,09,072,096,T079917079,0790101990,,6,B1,3,079-09-200,200,81,559-1,2,3,20030331,19860101,,431631,4479932,N,,,,,"C-10, C-7",431521.7147,4479724.4223
17,5_44,20260529,5,44,"MATAS, LAS",,S,44,10101,,93,270,U,28,127,12715,1271501,02753,Plaza,del,Ferrocarril,N,1,,,28290,01,008,,T127143,1271501021,,6,B2,3,127-002,1011,33,533-4,2,3,20030331,19860101,,424176,4489678,P,,,,,"C-10, C-8a, C-8b",424066.7616,4489470.8193
18,5_55,20260529,5,55,PINAR DE LAS ROZAS,,S,55,10100,,93,297,U,28,127,12715,1271501,02710,Lugar, ,Estación Ferrocarril El Pinar,N,2,,,28232,01,032,,T127412,1271501018,,6,B2,3,127-006,1015,50,533-4,2,3,20030331,19860101,,425385,4486311,N,,,,,"C-10, C-8a, C-8b",425275.2952,4486103.8375
19,5_68,20260529,5,68,"ROZAS, LAS",,S,68,10005,,93,322,U,28,127,12704,1270401,A0038,Calle,de la,Vía de Servicio de las Rozas,N,1,,,28231,01,006,,T127656,1270401012,,6,B2,3,127-009,1018,34,558-2,2,3,20030331,19860101,,426543,4483184,N,,,,,"C-10, C-7",426433.8123,4482976.3185
20,5_106,20260529,5,106,"GARENA, LA",,E,106,70111,,92,218,U,28,005,00501,0050101,07030,Calle, ,Fausto Elhuyar,N,1,,,28806,03,029,,T005907,0050101050,,2,B3,3,005-008,864,,560-1,2,3,20040929,20040101,,466785,4481365,P,,,,,"C-2, C-7, C-8a, C-8b",466675.5772,4481156.9747
21,5_71,20260529,5,71,SAN FERNANDO,Con Avda de San Pablo,S,71,70101,,93,333,U,28,049,04901,0490101,10029,Calle, ,Estación de ferrocarril,N,6,,,28823,04,002,,T04913,0490101019,,2,B1,3,049-003,896,59,559-2,2,3,20030331,19860101,,454836,4477235,N,,,,,"C-2, C-7, C-8a, C-8b",454726.352,4477026.8611
22,5_72,20260529,5,72,SAN JOSÉ DE VALDERAS,,S,72,35604,,93,336,U,28,007,00701,0070101,00171,Calle,de,Sahagún,N,36,,,28925,02,001,,T007262,0070101001,,5,B1,3,007-006,649,60,,2,3,20030331,19860101,,430829,4467857,N,,,,,C-5,430719.5395,4467649.5743
23,5_62,20260529,5,62,PUENTE ALCOCER,,I,62,35704,,93,46,U,28,079,07901,0790101,00148,Calle,de,Alcocer,N,54,,,28041,17,029,171,T07915966,0790101995,,4,A,2,079-17-473,473,55,559-3,2,3,20030331,19860101,,440226,4467083,N,,,,,C-5,440116.1507,4466875.0302
24,5_59,20260529,5,59,"POZO, EL",,S,59,70003,,91,48,U,28,079,07901,0790101,01987,Avda,de,Entrevías,N,140,,,28053,13,002,131,T07914485,0790101771,,3,A,2,079-13-374,374,74,559-4,2,3,20030331,19860101,,444402,4469894,N,,,,,"C-2, C-7, C-8a, C-8b",444292.9116,4469686.6907
25,5_87,20260529,5,87,VALLECAS,,E,87,70005,,91,49,U,28,079,07901,0790101,09429,Avda,de la,Democracia,N,2,,,28031,18,002,182,T07913501,0790101776,,3,A,2,079-13-350,350,67,559-4,2,3,20030331,19860101,,447096,4470575,P,,,,,"C-2, C-7, C-8a, C-8b",446986.7111,4470367.8141
26,5_51,20260529,5,51,NUEVOS MINISTERIOS,"Personal de atención / taquillas: SI
Parking disuasorio: SI",I,51,18002,,90,71,U,28,079,07901,0790101,05080,Calle,de,Raimundo Fernández Villaverde,N,67,,,28046,06,029,062,T079917100,0790101267,,6,A,1,079-06-120,120,47,559-1,1,3,20030331,19860101,,441398,4477767,T,,,,,"C-10, C-2, C-3, C-4, C-7, C-8a, C-8b",441288.3163,4477559.8954
27,5_92,20260529,5,92,VILLAVERDE ALTO,,S,92,37001,,91,82,U,28,079,07901,0790101,45300,Calle,del,Valle de Tobalina,N,56,,,28021,17,106,171,T07916345,0790101855,,4,A,2,079-17-484,484,70,559-3,2,3,20030331,19860101,,439643,4466082,T,,,,,"C-4, C-5",439533.3581,4465874.3474
28,5_11,20260529,5,11,MADRID ATOCHA CERCANÍAS,,I,11,18000,,90,54,U,28,079,07901,0790101,01357,Avda,de la,Ciudad de Barcelona,N,2,B,,28007,02,083,027,T07910082,0790101717,,4,A,1,079-02-033,33,8,559-3,2,3,20030331,19860101,,441621,4473322,T,,,,,"C-10, C-2, C-3, C-4, C-5, C-7, C-8a, C-8b",441511.6315,4473114.3871
29,5_115,20260529,5,115,"LOSA-NAVAS DE RIOFRIO, LA",,S,115,12014,,,,U,40,904,,,99999,Calle,de la,Estación,N,3,,,40420,,,,,,,,,, ,0,,483-3,2,3,20080402,20080402,,403927,4523678,T,,,,,,403817.893,4523470.798
30,5_118,20260529,5,118,NAVALPERAL,,S,118,10208,,,,U,05,161,16101,,99999,Calle,,DESCONOCIDA,N,SN,,,05240,01,001,,,,,,,, ,0,,532-1,2,3,20080402,20080402,,380953,4494477,T,,,,,,380843.5792,4494269.9333
31,5_16,20260529,5,16,CERCEDILLA,Posee Parking sin plazas PMRs,S,16,12006,,93,169,U,28,038,03802,0380201,00026,Calle,del,Cascajal,N,7,,,28470,01,003,,T038201,0380201011,,6,C2,4,038-001,1155,10,508-3,1,3,20030331,19860101,,410110,4510379,P,,,,,"C-8b, C-9",410000.3956,4510171.4186
