OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
330,5,345688,C1,C-1,1,1,133,,1162,9,TI,I,FUENTE DE LA MORA,28,079,MADRID,A,Calle de Dulce Chacón N 15,20110914,20110922,,2694.1474,30,5,92_102,,,5__1_____1_IT_1_5_133__1162_TI_I_9,,,,5__1___,5__1_____1_IT_1,5_133,5_133_,5_133_1162,
331,5,361622,C10,C-10,1,1,133,,1162,19,TI,I,FUENTE DE LA MORA,28,079,MADRID,A,Calle de Dulce Chacón N 15,20180312,20170126,,2693.8904,30,5,92_102,,,5__10_____1_IT_1_5_133__1162_TI_I_19,,,,5__10___,5__10_____1_IT_1,5_133,5_133_,5_133_1162,
332,5,361623,C10,C-10,2,1,133,,1163,3,TI,I,FUENTE DE LA MORA,28,079,MADRID,A,Calle de Dulce Chacón N 15,20180312,20170126,,4062.831,30,5,92_102,,,5__10_____2_IT_1_5_133__1163_TI_I_3,,,,5__10___,5__10_____2_IT_1,5_133,5_133_,5_133_1163,
333,5,345689,C1,C-1,2,1,144,,1212,2,TI,I,VALDEBEBAS,28,079,MADRID,A,Avda de las Fuerzas Armadas N 322,20110914,20110922,,2709.9956,30,5,93_540,,,5__1_____2_IT_1_5_144__1212_TI_I_2,,,,5__1___,5__1_____2_IT_1,5_144,5_144_,5_144_1212,
334,5,345688,C1,C-1,1,1,144,,1211,10,TI,I,VALDEBEBAS,28,079,MADRID,A,Avda de las Fuerzas Armadas N 322,20110914,20110922,,4065.1672,30,5,93_540,,,5__1_____1_IT_1_5_144__1211_TI_I_10,,,,5__1___,5__1_____1_IT_1,5_144,5_144_,5_144_1211,
335,5,361622,C10,C-10,1,1,144,,1211,20,TI,I,VALDEBEBAS,28,079,MADRID,A,Avda de las Fuerzas Armadas N 322,20180312,20170126,,4065.1596,30,5,93_540,,,5__10_____1_IT_1_5_144__1211_TI_I_20,,,,5__10___,5__10_____1_IT_1,5_144,5_144_,5_144_1211,
336,5,361623,C10,C-10,2,1,144,,1212,2,TI,I,VALDEBEBAS,28,079,MADRID,A,Avda de las Fuerzas Armadas N 322,20180312,20170126,,2709.9983,30,5,93_540,,,5__10_____2_IT_1_5_144__1212_TI_I_2,,,,5__10___,5__10_____2_IT_1,5_144,5_144_,5_144_1212,
337,5,364227,C7,C-7,2,1,145,,1214,8,TI,I,MIRASIERRA-PACO DE LUCÍA,28,079,MADRID,A,Calle de la Costa Brava N 14B,20190919,20181105,,1543.0062,30,5,93_480,,,5__7_____2_IT_1_5_145__1214_TI_I_8,,,,5__7___,5__7_____2_IT_1,5_145,5_145_,5_145_1214,
338,5,364228,C8,C-8,1,1,145,,1213,21,TI,I,MIRASIERRA-PACO DE LUCÍA,28,079,MADRID,A,Calle de la Costa Brava N 14B,20190919,20181105,,2176.2775,30,5,93_480,,,5__8_____1_IT_1_5_145__1213_TI_I_21,,,,5__8___,5__8_____1_IT_1,5_145,5_145_,5_145_1213,
339,5,364229,C8,C-8,2,1,145,,1214,12,TI,I,MIRASIERRA-PACO DE LUCÍA,28,079,MADRID,A,Calle de la Costa Brava N 14B,20190919,20181105,,1543.0062,30,5,93_480,,,5__8_____2_IT_1_5_145__1214_TI_I_12,,,,5__8___,5__8_____2_IT_1,5_145,5_145_,5_145_1214,
340,5,364226,C7,C-7,1,1,145,,1213,17,TI,I,MIRASIERRA-PACO DE LUCÍA,28,079,MADRID,A,Calle de la Costa Brava N 14B,20190919,20181105,,2176.2775,30,5,93_480,,,5__7_____1_IT_1_5_145__1213_TI_I_17,,,,5__7___,5__7_____1_IT_1,5_145,5_145_,5_145_1213,
341,5,370837,C8A,C-8a,1,1,145,,1213,21,TI,I,MIRASIERRA-PACO DE LUCÍA,28,079,MADRID,A,Calle de la Costa Brava N 14B,20240125,20240101,,,30,5,93_480,,,5__8_A____1_IT_1_5_145__1213_TI_I_21,,,,5__8_A__,5__8_A____1_IT_1,5_145,5_145_,5_145_1213,
342,5,370838,C8A,C-8a,2,1,145,,1214,13,TI,I,MIRASIERRA-PACO DE LUCÍA,28,079,MADRID,A,Calle de la Costa Brava N 14B,20240125,20240101,,1543.0062,30,5,93_480,,,5__8_A____2_IT_1_5_145__1214_TI_I_13,,,,5__8_A__,5__8_A____2_IT_1,5_145,5_145_,5_145_1214,
343,5,361622,C10,C-10,1,1,42,,579,7,TI,I,MAJADAHONDA,28,080,MAJADAHONDA,B2,Cmno   Estación del Plantío N 6,20180312,20170126,,3039.3208,30,5,92_263,,,5__10_____1_IT_1_5_42__579_TI_I_7,,,,5__10___,5__10_____1_IT_1,5_42,5_42_,5_42_579,
344,5,361623,C10,C-10,2,1,42,,580,15,TI,I,MAJADAHONDA,28,080,MAJADAHONDA,B2,Cmno   Estación del Plantío N 6,20180312,20170126,,3422.6177,30,5,92_263,,,5__10_____2_IT_1_5_42__580_TI_I_15,,,,5__10___,5__10_____2_IT_1,5_42,5_42_,5_42_580,
345,5,364227,C7,C-7,2,1,42,,580,5,TI,I,MAJADAHONDA,28,080,MAJADAHONDA,B2,Cmno   Estación del Plantío N 6,20190919,20181105,,3422.6177,30,5,92_263,,,5__7_____2_IT_1_5_42__580_TI_I_5,,,,5__7___,5__7_____2_IT_1,5_42,5_42_,5_42_580,
346,5,364226,C7,C-7,1,1,42,,579,20,TI,I,MAJADAHONDA,28,080,MAJADAHONDA,B2,Cmno   Estación del Plantío N 6,20190919,20181105,,3039.3208,30,5,92_263,,,5__7_____1_IT_1_5_42__579_TI_I_20,,,,5__7___,5__7_____1_IT_1,5_42,5_42_,5_42_579,
347,5,330338,C2,C-2,1,1,45,,585,3,TI,I,MECO,28,083,MECO,C1,Trva de la Calera N 3,20010621,19930101,,4060.0112,30,5,93_271,,,5__2_____1_IT_1_5_45__585_TI_I_3,,,,5__2___,5__2_____1_IT_1,5_45,5_45_,5_45_585,
348,5,330357,C2,C-2,2,1,45,,586,17,TI,I,MECO,28,083,MECO,C1,Trva de la Calera N 3,20010621,19930101,,4487.3368,30,5,93_271,,,5__2_____2_IT_1_5_45__586_TI_I_17,,,,5__2___,5__2_____2_IT_1,5_45,5_45_,5_45_586,
349,5,364228,C8,C-8,1,1,45,,585,3,TI,I,MECO,28,083,MECO,C1,Trva de la Calera N 3,20190919,20181105,,4060.0112,30,5,93_271,,,5__8_____1_IT_1_5_45__585_TI_I_3,,,,5__8___,5__8_____1_IT_1,5_45,5_45_,5_45_585,
350,5,364229,C8,C-8,2,1,45,,586,30,TI,I,MECO,28,083,MECO,C1,Trva de la Calera N 3,20190919,20181105,,4487.3368,30,5,93_271,,,5__8_____2_IT_1_5_45__586_TI_I_30,,,,5__8___,5__8_____2_IT_1,5_45,5_45_,5_45_586,
351,5,370837,C8A,C-8a,1,1,45,,585,3,TI,I,MECO,28,083,MECO,C1,Trva de la Calera N 3,20240125,20240101,,,30,5,93_271,,,5__8_A____1_IT_1_5_45__585_TI_I_3,,,,5__8_A__,5__8_A____1_IT_1,5_45,5_45_,5_45_585,
352,5,370838,C8A,C-8a,2,1,45,,586,31,TI,I,MECO,28,083,MECO,C1,Trva de la Calera N 3,20240125,20240101,,4487.3368,30,5,93_271,,,5__8_A____2_IT_1_5_45__586_TI_I_31,,,,5__8_A__,5__8_A____2_IT_1,5_45,5_45_,5_45_586,
353,5,364228,C8,C-8,1,1,47,,589,31,TI,I,"MOLINOS, LOS",28,087,"MOLINOS, LOS",C2,Gta de la Estación N 2,20190919,20181105,,3727.4639,30,5,93_276,,,5__8_____1_IT_1_5_47__589_TI_I_31,,,,5__8___,5__8_____1_IT_1,5_47,5_47_,5_47_589,
354,5,364229,C8,C-8,2,1,47,,590,2,TI,I,"MOLINOS, LOS",28,087,"MOLINOS, LOS",C2,Gta de la Estación N 2,20190919,20181105,,5306.7529,30,5,93_276,,,5__8_____2_IT_1_5_47__590_TI_I_2,,,,5__8___,5__8_____2_IT_1,5_47,5_47_,5_47_590,
355,5,332752,C5,C-5,2,1,48,,592,22,TI,I,MÓSTOLES,28,092,MOSTOLES,B2,Paseo de la Estación N 13,20040303,20040228,,2372.5657,30,5,92_90,,,5__5_____2_IT_1_5_48__592_TI_I_22,,,,5__5___,5__5_____2_IT_1,5_48,5_48_,5_48_592,
356,5,332751,C5,C-5,1,1,48,,591,2,TI,I,MÓSTOLES,28,092,MOSTOLES,B2,Paseo de la Estación N 13,20040303,20040228,,2003.2166,30,5,92_90,,,5__5_____1_IT_1_5_48__591_TI_I_2,,,,5__5___,5__5_____1_IT_1,5_48,5_48_,5_48_591,
357,5,332752,C5,C-5,2,1,49,,594,23,TI,C,MÓSTOLES EL SOTO,28,092,MOSTOLES,B2,Calle   Granada N 17,20040303,20040228,,2001.6869,30,5,93_278,,,5__5_____2_IT_1_5_49__594_TI_C_23,,,,5__5___,5__5_____2_IT_1,5_49,5_49_,5_49_594,
358,5,332751,C5,C-5,1,1,49,,593,1,TI,C,MÓSTOLES EL SOTO,28,092,MOSTOLES,B2,Calle   Granada N 17,20040303,20040228,,0,0,5,93_278,,,5__5_____1_IT_1_5_49__593_TI_C_1,,,,5__5___,5__5_____1_IT_1,5_49,5_49_,5_49_593,
359,5,340742,C4A,C-4a,1,1,53,,602,1,TI,C,PARLA,28,106,PARLA,B2,Calle  Real N 81,20090625,20090625,,0,0,5,92_100,,,5__4_A____1_IT_1_5_53__602_TI_C_1,,,,5__4_A__,5__4_A____1_IT_1,5_53,5_53_,5_53_602,
360,5,340743,C4A,C-4a,2,1,53,,601,15,TI,C,PARLA,28,106,PARLA,B2,Calle  Real N 81,20090625,20090625,,7874.4857,30,5,92_100,,,5__4_A____2_IT_1_5_53__601_TI_C_15,,,,5__4_A__,5__4_A____2_IT_1,5_53,5_53_,5_53_601,
361,5,340744,C4B,C-4b,1,1,53,,602,1,TI,C,PARLA,28,106,PARLA,B2,Calle  Real N 81,20090625,20090625,,0,0,5,92_100,,,5__4_B____1_IT_1_5_53__602_TI_C_1,,,,5__4_B__,5__4_B____1_IT_1,5_53,5_53_,5_53_602,
362,5,340745,C4B,C-4b,2,1,53,,601,15,TI,C,PARLA,28,106,PARLA,B2,Calle  Real N 81,20090625,20090625,,7874.4856,30,5,92_100,,,5__4_B____2_IT_1_5_53__601_TI_C_15,,,,5__4_B__,5__4_B____2_IT_1,5_53,5_53_,5_53_601,
363,5,364222,C3,C-3,1,1,56,,608,4,TI,I,PINTO,28,113,PINTO,B2,Calle del Ferrocarril N 4,20190919,20181105,,6311.2071,30,5,93_299,,,5__3_____1_IT_1_5_56__608_TI_I_4,,,,5__3___,5__3_____1_IT_1,5_56,5_56_,5_56_608,
364,5,364223,C3,C-3,2,1,56,,607,10,TI,I,PINTO,28,113,PINTO,B2,Calle del Ferrocarril N 4,20190919,20181105,,6981.1421,30,5,93_299,,,5__3_____2_IT_1_5_56__607_TI_I_10,,,,5__3___,5__3_____2_IT_1,5_56,5_56_,5_56_607,
365,5,361622,C10,C-10,1,1,60,,615,9,TI,I,POZUELO,28,115,POZUELO DE ALARCON,B1,Calle   Estación N 2,20180312,20170126,,2616.1886,30,5,93_303,,,5__10_____1_IT_1_5_60__615_TI_I_9,,,,5__10___,5__10_____1_IT_1,5_60,5_60_,5_60_615,
366,5,361623,C10,C-10,2,1,60,,616,13,TI,I,POZUELO,28,115,POZUELO DE ALARCON,B1,Calle   Estación N 2,20180312,20170126,,1204.3029,30,5,93_303,,,5__10_____2_IT_1_5_60__616_TI_I_13,,,,5__10___,5__10_____2_IT_1,5_60,5_60_,5_60_616,
367,5,364227,C7,C-7,2,1,60,,616,3,TI,I,POZUELO,28,115,POZUELO DE ALARCON,B1,Calle   Estación N 2,20190919,20181105,,1204.3029,30,5,93_303,,,5__7_____2_IT_1_5_60__616_TI_I_3,,,,5__7___,5__7_____2_IT_1,5_60,5_60_,5_60_616,
368,5,364226,C7,C-7,1,1,60,,615,22,TI,I,POZUELO,28,115,POZUELO DE ALARCON,B1,Calle   Estación N 2,20190919,20181105,,2616.1886,30,5,93_303,,,5__7_____1_IT_1_5_60__615_TI_I_22,,,,5__7___,5__7_____1_IT_1,5_60,5_60_,5_60_615,
369,5,370837,C8A,C-8a,1,1,67,,629,32,TI,I,ROBLEDO DE CHAVELA,28,125,ROBLEDO DE CHAVELA,C2,Calle de Francisco Quevedo N 295,20240125,20240101,,8370.4539,30,5,93_320,,,5__8_A____1_IT_1_5_67__629_TI_I_32,,,,5__8_A__,5__8_A____1_IT_1,5_67,5_67_,5_67_629,
370,5,370838,C8A,C-8a,2,1,67,,630,2,TI,I,ROBLEDO DE CHAVELA,28,125,ROBLEDO DE CHAVELA,C2,Calle de Francisco Quevedo N 295,20240125,20240101,,6755.9345,30,5,93_320,,,5__8_A____2_IT_1_5_67__630_TI_I_2,,,,5__8_A__,5__8_A____2_IT_1,5_67,5_67_,5_67_630,
371,5,361622,C10,C-10,1,1,44,,584,4,TI,I,"MATAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Plaza del Ferrocarril N 1,20180312,20170126,,6096.915,30,5,93_270,,,5__10_____1_IT_1_5_44__584_TI_I_4,,,,5__10___,5__10_____1_IT_1,5_44,5_44_,5_44_584,
372,5,361623,C10,C-10,2,1,44,,583,18,TI,I,"MATAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Plaza del Ferrocarril N 1,20180312,20170126,,3541.3729,30,5,93_270,,,5__10_____2_IT_1_5_44__583_TI_I_18,,,,5__10___,5__10_____2_IT_1,5_44,5_44_,5_44_583,
373,5,364228,C8,C-8,1,1,44,,583,24,TI,I,"MATAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Plaza del Ferrocarril N 1,20190919,20181105,,3541.3729,30,5,93_270,,,5__8_____1_IT_1_5_44__583_TI_I_24,,,,5__8___,5__8_____1_IT_1,5_44,5_44_,5_44_583,
374,5,364229,C8,C-8,2,1,44,,584,9,TI,I,"MATAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Plaza del Ferrocarril N 1,20190919,20181105,,6096.9151,30,5,93_270,,,5__8_____2_IT_1_5_44__584_TI_I_9,,,,5__8___,5__8_____2_IT_1,5_44,5_44_,5_44_584,
375,5,370837,C8A,C-8a,1,1,44,,583,24,TI,I,"MATAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Plaza del Ferrocarril N 1,20240125,20240101,,,30,5,93_270,,,5__8_A____1_IT_1_5_44__583_TI_I_24,,,,5__8_A__,5__8_A____1_IT_1,5_44,5_44_,5_44_583,
376,5,370838,C8A,C-8a,2,1,44,,584,10,TI,I,"MATAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Plaza del Ferrocarril N 1,20240125,20240101,,6096.9151,30,5,93_270,,,5__8_A____2_IT_1_5_44__584_TI_I_10,,,,5__8_A__,5__8_A____2_IT_1,5_44,5_44_,5_44_584,
377,5,361622,C10,C-10,1,1,55,,606,5,TI,I,PINAR DE LAS ROZAS,28,127,"ROZAS DE MADRID, LAS",B2,Lugar   Estación Ferrocarril El Pinar N 1,20180312,20170126,,3541.9818,30,5,93_297,,,5__10_____1_IT_1_5_55__606_TI_I_5,,,,5__10___,5__10_____1_IT_1,5_55,5_55_,5_55_606,
378,5,361623,C10,C-10,2,1,55,,605,17,TI,I,PINAR DE LAS ROZAS,28,127,"ROZAS DE MADRID, LAS",B2,Lugar   Estación Ferrocarril El Pinar N 1,20180312,20170126,,3379.323,30,5,93_297,,,5__10_____2_IT_1_5_55__605_TI_I_17,,,,5__10___,5__10_____2_IT_1,5_55,5_55_,5_55_605,
379,5,364228,C8,C-8,1,1,55,,605,23,TI,I,PINAR DE LAS ROZAS,28,127,"ROZAS DE MADRID, LAS",B2,Lugar   Estación Ferrocarril El Pinar N 1,20190919,20181105,,14902.5837,30,5,93_297,,,5__8_____1_IT_1_5_55__605_TI_I_23,,,,5__8___,5__8_____1_IT_1,5_55,5_55_,5_55_605,
380,5,364229,C8,C-8,2,1,55,,606,10,TI,I,PINAR DE LAS ROZAS,28,127,"ROZAS DE MADRID, LAS",B2,Lugar   Estación Ferrocarril El Pinar N 1,20190919,20181105,,3541.9818,30,5,93_297,,,5__8_____2_IT_1_5_55__606_TI_I_10,,,,5__8___,5__8_____2_IT_1,5_55,5_55_,5_55_606,
381,5,370837,C8A,C-8a,1,1,55,,605,23,TI,I,PINAR DE LAS ROZAS,28,127,"ROZAS DE MADRID, LAS",B2,Lugar   Estación Ferrocarril El Pinar N 1,20240125,20240101,,,30,5,93_297,,,5__8_A____1_IT_1_5_55__605_TI_I_23,,,,5__8_A__,5__8_A____1_IT_1,5_55,5_55_,5_55_605,
382,5,370838,C8A,C-8a,2,1,55,,606,11,TI,I,PINAR DE LAS ROZAS,28,127,"ROZAS DE MADRID, LAS",B2,Lugar   Estación Ferrocarril El Pinar N 1,20240125,20240101,,3541.9818,30,5,93_297,,,5__8_A____2_IT_1_5_55__606_TI_I_11,,,,5__8_A__,5__8_A____2_IT_1,5_55,5_55_,5_55_606,
383,5,361622,C10,C-10,1,1,68,,631,6,TI,I,"ROZAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Calle de la Vía de Servicio de las Rozas N 1,20180312,20170126,,3359.663,30,5,93_322,,,5__10_____1_IT_1_5_68__631_TI_I_6,,,,5__10___,5__10_____1_IT_1,5_68,5_68_,5_68_631,
384,5,361623,C10,C-10,2,1,68,,632,16,TI,I,"ROZAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Calle de la Vía de Servicio de las Rozas N 1,20180312,20170126,,3034.1627,30,5,93_322,,,5__10_____2_IT_1_5_68__632_TI_I_16,,,,5__10___,5__10_____2_IT_1,5_68,5_68_,5_68_632,
385,5,364227,C7,C-7,2,1,68,,632,6,TI,I,"ROZAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Calle de la Vía de Servicio de las Rozas N 1,20190919,20181105,,3034.1627,30,5,93_322,,,5__7_____2_IT_1_5_68__632_TI_I_6,,,,5__7___,5__7_____2_IT_1,5_68,5_68_,5_68_632,
386,5,364226,C7,C-7,1,1,68,,631,19,TI,I,"ROZAS, LAS",28,127,"ROZAS DE MADRID, LAS",B2,Calle de la Vía de Servicio de las Rozas N 1,20190919,20181105,,15458.3932,30,5,93_322,,,5__7_____1_IT_1_5_68__631_TI_I_19,,,,5__7___,5__7_____1_IT_1,5_68,5_68_,5_68_631,
387,5,370837,C8A,C-8a,1,1,76,,647,33,TI,T,SANTA MARÍA DE LA ALAMEDA,28,135,SANTA MARIA DE LA ALAMEDA,C2,Calle   Doce de Octubre N 20,20240125,20240101,,6759.1373,30,5,93_341,,,5__8_A____1_IT_1_5_76__647_TI_T_33,,,,5__8_A__,5__8_A____1_IT_1,5_76,5_76_,5_76_647,
388,5,370838,C8A,C-8a,2,1,76,,648,1,TI,T,SANTA MARÍA DE LA ALAMEDA,28,135,SANTA MARIA DE LA ALAMEDA,C2,Calle   Doce de Octubre N 20,20240125,20240101,,,0,5,93_341,,,5__8_A____2_IT_1_5_76__648_TI_T_1,,,,5__8_A__,5__8_A____2_IT_1,5_76,5_76_,5_76_648,
389,5,330338,C2,C-2,1,1,81,,663,8,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20010621,19930101,,3416.3093,30,5,93_351,,,5__2_____1_IT_1_5_81__663_TI_I_8,,,,5__2___,5__2_____1_IT_1,5_81,5_81_,5_81_663,
390,5,330357,C2,C-2,2,1,81,,664,12,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20010621,19930101,,4813.1263,30,5,93_351,,,5__2_____2_IT_1_5_81__664_TI_I_12,,,,5__2___,5__2_____2_IT_1,5_81,5_81_,5_81_664,
391,5,364227,C7,C-7,2,1,81,,664,21,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20190919,20181105,,4813.1263,30,5,93_351,,,5__7_____2_IT_1_5_81__664_TI_I_21,,,,5__7___,5__7_____2_IT_1,5_81,5_81_,5_81_664,
392,5,364228,C8,C-8,1,1,81,,663,8,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20190919,20181105,,3416.3093,30,5,93_351,,,5__8_____1_IT_1_5_81__663_TI_I_8,,,,5__8___,5__8_____1_IT_1,5_81,5_81_,5_81_663,
393,5,364229,C8,C-8,2,1,81,,664,25,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20190919,20181105,,4813.1263,30,5,93_351,,,5__8_____2_IT_1_5_81__664_TI_I_25,,,,5__8___,5__8_____2_IT_1,5_81,5_81_,5_81_664,
394,5,364226,C7,C-7,1,1,81,,663,4,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20190919,20181105,,3416.8944,30,5,93_351,,,5__7_____1_IT_1_5_81__663_TI_I_4,,,,5__7___,5__7_____1_IT_1,5_81,5_81_,5_81_663,
395,5,370837,C8A,C-8a,1,1,81,,663,8,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20240125,20240101,,,30,5,93_351,,,5__8_A____1_IT_1_5_81__663_TI_I_8,,,,5__8_A__,5__8_A____1_IT_1,5_81,5_81_,5_81_663,
396,5,370838,C8A,C-8a,2,1,81,,664,26,TI,I,TORREJÓN DE ARDOZ,28,148,TORREJON DE ARDOZ,B2,Paseo   Estación N 3,20240125,20240101,,4813.1263,30,5,93_351,,,5__8_A____2_IT_1_5_81__664_TI_I_26,,,,5__8_A__,5__8_A____2_IT_1,5_81,5_81_,5_81_664,
397,5,330338,C2,C-2,1,1,143,,1209,7,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20010621,19930101,,4495.8286,30,5,93_520,,,5__2_____1_IT_1_5_143__1209_TI_I_7,,,,5__2___,5__2_____1_IT_1,5_143,5_143_,5_143_1209,
398,5,330357,C2,C-2,2,1,143,,1210,13,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20010621,19930101,,3419.8453,30,5,93_520,,,5__2_____2_IT_1_5_143__1210_TI_I_13,,,,5__2___,5__2_____2_IT_1,5_143,5_143_,5_143_1210,
399,5,364227,C7,C-7,2,1,143,,1210,22,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20190919,20181105,,3419.5736,30,5,93_520,,,5__7_____2_IT_1_5_143__1210_TI_I_22,,,,5__7___,5__7_____2_IT_1,5_143,5_143_,5_143_1210,
400,5,364228,C8,C-8,1,1,143,,1209,7,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20190919,20181105,,4495.8286,30,5,93_520,,,5__8_____1_IT_1_5_143__1209_TI_I_7,,,,5__8___,5__8_____1_IT_1,5_143,5_143_,5_143_1209,
401,5,364229,C8,C-8,2,1,143,,1210,26,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20190919,20181105,,3419.8453,30,5,93_520,,,5__8_____2_IT_1_5_143__1210_TI_I_26,,,,5__8___,5__8_____2_IT_1,5_143,5_143_,5_143_1210,
402,5,364226,C7,C-7,1,1,143,,1209,3,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20190919,20181105,,4495.2437,30,5,93_520,,,5__7_____1_IT_1_5_143__1209_TI_I_3,,,,5__7___,5__7_____1_IT_1,5_143,5_143_,5_143_1209,
403,5,370837,C8A,C-8a,1,1,143,,1209,7,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20240125,20240101,,,30,5,93_520,,,5__8_A____1_IT_1_5_143__1209_TI_I_7,,,,5__8_A__,5__8_A____1_IT_1,5_143,5_143_,5_143_1209,
404,5,370838,C8A,C-8a,2,1,143,,1210,27,TI,I,SOTO DEL HENARES,28,148,TORREJON DE ARDOZ,B2,Paseo de la Democracia N 17,20240125,20240101,,3419.8453,30,5,93_520,,,5__8_A____2_IT_1_5_143__1210_TI_I_27,,,,5__8_A__,5__8_A____2_IT_1,5_143,5_143_,5_143_1210,
405,5,361622,C10,C-10,1,1,82,,666,3,TI,I,TORRELODONES,28,152,TORRELODONES,B3,Plaza de Salvador Sánchez Frascuelo N 6,20180312,20170126,,3861.7155,30,5,93_352,,,5__10_____1_IT_1_5_82__666_TI_I_3,,,,5__10___,5__10_____1_IT_1,5_82,5_82_,5_82_666,
406,5,361623,C10,C-10,2,1,82,,665,19,TI,I,TORRELODONES,28,152,TORRELODONES,B3,Plaza de Salvador Sánchez Frascuelo N 6,20180312,20170126,,6098.7778,30,5,93_352,,,5__10_____2_IT_1_5_82__665_TI_I_19,,,,5__10___,5__10_____2_IT_1,5_82,5_82_,5_82_665,
407,5,364228,C8,C-8,1,1,82,,665,25,TI,I,TORRELODONES,28,152,TORRELODONES,B3,Plaza de Salvador Sánchez Frascuelo N 6,20190919,20181105,,6098.7778,30,5,93_352,,,5__8_____1_IT_1_5_82__665_TI_I_25,,,,5__8___,5__8_____1_IT_1,5_82,5_82_,5_82_665,
408,5,364229,C8,C-8,2,1,82,,666,8,TI,I,TORRELODONES,28,152,TORRELODONES,B3,Plaza de Salvador Sánchez Frascuelo N 6,20190919,20181105,,3861.7155,30,5,93_352,,,5__8_____2_IT_1_5_82__666_TI_I_8,,,,5__8___,5__8_____2_IT_1,5_82,5_82_,5_82_666,
409,5,370837,C8A,C-8a,1,1,82,,665,25,TI,I,TORRELODONES,28,152,TORRELODONES,B3,Plaza de Salvador Sánchez Frascuelo N 6,20240125,20240101,,,30,5,93_352,,,5__8_A____1_IT_1_5_82__665_TI_I_25,,,,5__8_A__,5__8_A____1_IT_1,5_82,5_82_,5_82_665,
410,5,370838,C8A,C-8a,2,1,82,,666,9,TI,I,TORRELODONES,28,152,TORRELODONES,B3,Plaza de Salvador Sánchez Frascuelo N 6,20240125,20240101,,3861.7155,30,5,93_352,,,5__8_A____2_IT_1_5_82__666_TI_I_9,,,,5__8_A__,5__8_A____2_IT_1,5_82,5_82_,5_82_666,
411,5,364222,C3,C-3,1,1,86,,674,3,TI,I,VALDEMORO,28,161,VALDEMORO,B3,Paseo de la Estación N 86,20190919,20181105,,6510.9315,30,5,92_364,,,5__3_____1_IT_1_5_86__674_TI_I_3,,,,5__3___,5__3_____1_IT_1,5_86,5_86_,5_86_674,
412,5,364223,C3,C-3,2,1,86,,673,11,TI,I,VALDEMORO,28,161,VALDEMORO,B3,Paseo de la Estación N 86,20190919,20181105,,6313.7687,30,5,92_364,,,5__3_____2_IT_1_5_86__673_TI_I_11,,,,5__3___,5__3_____2_IT_1,5_86,5_86_,5_86_673,
