OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,x2,y2
2,10_13,20150410,10,13,PRADO DEL REY,Superficie,S,13,,,93,418,U,28,115,11523,1152301,03224,Avda, ,Radio y Televisión,N,4,,,28223,01,018,,T115792,1152301003,,6,B1,3,115-020,1007,,559-3,2,3,20070220,20070726,,433294,4473822,T,,,,,433184.5932,4473614.5857
3,10_15,20150410,10,15,SOMOSAGUAS CENTRO,Superficie,S,15,,,93,423,U,28,115,11523,1152301,A0131,Ctra, ,Carabanchel (M-502),N,36,,,28223,01,006,,T115683,1152301010,,6,B1,3,115-017,1004,,559-1,2,3,20070220,20070726,,432348,4474818,T,,,,,432238.6113,4474610.6011
4,10_16,20150410,10,16,POZUELO OESTE,Superficie,S,16,,,93,415,U,28,115,11523,1152301,A0131,Ctra, ,Carabanchel (M-502),N,63,,,28223,01,006,,T115676,1152301009,,6,B1,3,115-017,1004,,559-1,2,3,20070220,20070401,,431865,4475234,T,,,,,431755.6202,4475026.6079
5,10_18,20150410,10,18,BELGICA,Superficie,S,18,,,93,384,U,28,115,11504,1150401,A0221,Via,de las,Dos Castillas,N,5,,,28223,01,025,,T115615,1150401018,,6,B1,3,115-014,1001,,559-1,2,3,20070220,20070726,,431612,4476070,T,,,,,431502.6315,4475862.6153
6,10_19,20150410,10,19,DOS CASTILLAS,Superficie,S,19,,,93,395,U,28,115,11504,1150401,A0221,Via,de las,Dos Castillas,N,11,D,,28223,01,026,,T115587,1150401018,,6,B1,3,115-014,1001,,559-1,2,3,20070220,20070726,,432117,4476282,T,,,,,432007.6299,4476074.6122
7,10_20,20150410,10,20,CAMPUS DE SOMOSAGUAS,Universidad de Somosaguas,S,20,,,92,389,U,28,115,11523,1152399,99999,Avda,del,Cerro,SN,SN,,,28223,02,010,,T115428,1152399999,,6,B1,3,115-011,998,,559-1,2,3,20070220,20070726,,432658,4476371,T,,,,,432548.6264,4476163.6078
8,10_21,20150410,10,21,AVENIDA DE EUROPA,Subterránea,I,21,,,93,382,U,28,115,11504,1150401,A0180,Avda, ,Comunidad de Madrid,N,3,,,28224,02,018,,T115434,1150401017,,6,B1,3,115-010,997,,559-1,2,3,20070220,20070726,,432850,4477027,T,,,,,432740.6324,4476819.6098
9,10_22,20150410,10,22,BERNA,Superficie,S,22,,,93,385,U,28,115,11504,1150401,A0559,Calle, ,Plutón,N,1,,,28224,02,019,,T115194,1150401022,,6,B1,3,115-010,997,,559-1,2,3,20070220,20070726,,433013,4477643,T,,,,,432903.6378,4477435.6118
10,10_11,20150410,10,11,PRADO DE LA VEGA,Superficie,S,11,,,93,416,U,28,115,11520,1152099,A0131,Ctra, ,Carabanchel (M-502),N,63,,,28223,01,018,,T115862,1152099999,,6,B1,3,115-018,1005,,559-3,2,3,20070220,20070726,,433818,4472910,T,,,,,433708.5119,4472702.8344
11,10_23,20150410,10,23,ESTACION DE ARAVACA,Con Calle de la Golondrina,S,23,,,92,94,U,28,079,07901,0790101,45062,Calle,de la,Golondrina,N,104,,,28023,09,088,097,T0795382,0790101907,5,6,A,2,079-09-204,204,,559-1,2,3,20070220,20070726,,433465,4478023,T,,,,,433355.638,4477815.6094
12,10_10,20150410,10,10,COLONIA JARDIN,Subterránea,I,10,,,91,43,U,28,079,07901,0790101,10799,Calle,de,Arenas de San Pedro,N,2,,,28024,10,152,105,T07911169,0790101515,3,5,A,2,079-10-249,249,,559-3,2,3,20070220,20070726,,434377,4472315,T,,,,,434267.5687,4472107.5654
13,10_14,20150410,10,14,SOMOSAGUAS SUR,Subterránea,I,14,,,93,424,U,28,115,11523,1152301,A0716,Calle, ,Veritas,N,4,,,28223,01,006,,T115764,1152301012,,6,B1,3,115-018,1005,,559-3,2,3,20070220,20070726,,432871,4474369,T,,,,,432761.7889,4474161.4608
1,10_39,20150410,10,39,COCHERAS,Superficie,S,39,,,93,393,U,28,115,11522,1152299,99999,Ctra,de,Boadilla del Monte,SN,90,,,28223,01,018,,T115883,1152299999,,6,B1,3,115-022,1009,,559-3,2,3,20070803,20070726,,431891,4472326,T,,,,,431781.5872,4472118.5897
2,10_29,20150410,10,29,MONTEPRINCIPE,Subterránea,I,29,,,93,409,U,28,007,00707,0070701,02619,Avda,del,Montepríncipe,N,1,,,28925,01,015,,T0071,0070701001,,5,B1,3,007-001,644,,559-3,2,3,20070221,20070401,,429181,4472467,T,,,,,429071.6115,4472259.6133
3,10_30,20150410,10,30,VENTORRO DEL CANO,Con Calle Valdelaguna,S,30,,,93,427,U,28,007,00704,0070499,C0019,Avda,del,Tranvía,SN,SN,,,28925,01,015,,T00717,,,5,B1,3,007-001,644,,559-3,2,3,20070221,20070726,,428981,4472056,T,,,,,428871.6086,4471848.6123
4,10_31,20150410,10,31,PRADO DEL ESPINO,Superficie,S,31,,,93,417,U,28,022,02211,0221101,C0003,Calle, ,Labradores,N,1,,,28660,01,008,,T022405,0221101001,,5,B2,3,022-008,957,,559-3,2,3,20070221,20070726,,428165,4472154,T,,,,,428055.6165,4471946.6199
5,10_32,20150410,10,32,CANTABRIA,Superficie,S,32,,,93,390,U,28,022,02211,0221199,C0009,Avda,de,Cantabria,N,3,,,28660,01,008,,T022389,0221199999,,5,B2,3,022-008,957,,558-4,2,3,20070221,20070726,,426752,4472198,T,,,,,426642.6284,4471990.63
6,10_33,20150410,10,33,FERIAL DE BOADILLA,Superficie,S,33,,,93,398,U,28,022,02201,0220199,A0020,Ctra,de,Boadilla-Villaviciosa,N,13,A,,28660,01,008,,T022357,0220199999,,5,B2,3,022-005,954,,558-4,2,3,20070221,20070726,,425487,4472951,T,,,,,425377.647,4472743.6434
7,10_34,20150410,10,34,BOADILLA CENTRO,Superficie,S,34,,,93,387,U,28,022,02201,0220101,A0018,Ctra,de,Boadilla-Majadahonda,N,40,,,28660,01,006,,T022262,0220101004,,5,B2,3,022-006,955,,558-4,2,3,20070221,20070726,,425437,4473526,T,,,,,425327.6539,4473318.6477
8,10_35,20150410,10,35,NUEVO MUNDO,Superficie,S,35,,,93,410,U,28,022,02201,0220101,00549,Avda,del,Nuevo Mundo,N,6,B,,28660,01,012,,T022307,0220101019,,5,B2,3,022-006,955,,558-4,2,3,20070221,20070726,,424950,4473365,T,,,,,424840.6559,4473157.6497
9,10_36,20150410,10,36,SIGLO XXI,Superficie,S,36,,,93,422,U,28,022,02201,0220101,00561,Avda,del,Siglo XXI,N,1,,,28660,01,016,,T022318,0220101022,,5,B2,3,022-007,956,,558-4,2,3,20070221,20070726,,424366,4473314,T,,,,,424256.6601,4473106.6534
10,10_37,20150410,10,37,INFANTE DON LUIS,Superficie,S,37,,,93,401,U,28,022,02201,0220101,00561,Avda,del,Siglo XXI,N,11,,,28660,01,014,,T022265,0220101023,,5,B2,3,022-007,956,,558-4,2,3,20070221,20070726,,423962,4473409,T,,,,,423852.6643,4473201.6566
11,10_38,20150410,10,38,PUERTA DE BOADILLA,Superficie,S,38,,,93,419,U,28,022,02212,0221299,99999,Avda, ,Siglo XXI,SN,SN,,,28660,01,014,,T022207,0221299999,,5,B2,3,022-007,956,,558-4,2,3,20070221,20070726,,423423,4473617,T,,,,,423313.6709,4473409.6617
